iter	RMSE
0	66.31795142
1	56.03099025
2	50.7984866
3	47.90865923
4	45.47253435
5	44.17019473
6	42.88041034
7	41.75581299
8	41.00479659
9	39.71834687
10	39.18644959
11	38.78426134
12	38.40892565
13	38.26441071
14	37.19126398
15	36.82905693
16	36.52593449
17	36.11557986
18	35.8155543
19	35.5503214
20	35.01533486
21	34.41531938
22	34.14850694
23	34.00229094
24	33.74691939
25	33.53391602
26	33.3304433
27	33.17925415
28	33.09181219
29	32.92500779
30	32.64615084
31	32.42485807
32	32.26250343
33	32.10462509
34	31.96539087
35	31.80160272
36	31.60799105
37	31.51258331
38	31.3869958
39	31.27196725
40	31.22736229
41	31.14906902
42	31.07359858
43	30.98018959
44	30.88509667
45	30.80841671
46	30.75684269
47	30.41550834
48	30.33258374
49	30.22974496
50	30.09757263
51	30.01610925
52	29.96296984
53	29.89214767
54	29.83663076
55	29.75756452
56	29.70611061
57	29.65562218
58	29.61484559
59	29.58458332
60	29.52316421
61	29.47337098
62	29.39700712
63	29.35149113
64	29.3082797
65	29.233297
66	29.18182798
67	29.08496295
68	29.04908921
69	28.98297674
70	28.93453485
71	28.89439104
72	28.86633801
73	28.83600123
74	28.79447356
75	28.74913488
76	28.70664112
77	28.62699337
78	28.5729873
79	28.54161174
80	28.51535953
81	28.48296992
82	28.43538699
83	28.34212066
84	28.31751662
85	28.29200365
86	28.24767328
87	28.21988992
88	28.16968247
89	28.14816482
90	28.0225899
91	27.99268706
92	27.78178136
93	27.75904356
94	27.69343766
95	27.66869143
96	27.62901286
97	27.60164348
98	27.58935241
99	27.55158453
100	27.51487086
101	27.47937973
102	27.45053416
103	27.43676851
104	27.4123177
105	27.06119143
106	27.03124355
107	27.00718844
108	26.9659955
109	26.94191222
110	26.91577085
111	26.89574148
112	26.86404961
113	26.84846495
114	26.82250168
115	26.80678924
116	26.78890533
117	26.77469398
118	26.76605209
119	26.72403311
120	26.65424126
121	26.64587661
122	26.56474171
123	26.52751882
124	26.51173898
125	26.49301171
126	26.41720579
127	26.38676516
128	26.36236811
129	26.34728344
130	26.33257858
131	26.31894771
132	26.29582414
133	26.27356398
134	26.24015003
135	26.22257595
136	26.20650723
137	26.18123398
138	26.17218063
139	26.16018711
140	26.1473565
141	26.13199711
142	26.11285188
143	26.09746219
144	26.0806752
145	26.05626126
146	26.03490271
147	25.87592791
148	25.85286967
149	25.77042132
150	25.72854316
151	25.69978076
152	25.69037993
153	25.67260422
154	25.65942766
155	25.63391654
156	25.59142325
157	25.58312936
158	25.56314968
159	25.54557546
160	25.53492927
161	25.51095229
162	25.47048238
163	25.45949146
164	25.44917562
165	25.43168508
166	25.41888944
167	25.40826801
168	25.39316602
169	25.37618944
170	25.35013841
171	25.34231688
172	25.33027856
173	25.31698883
174	25.27995951
175	25.27588571
176	25.26426432
177	25.25344046
178	25.23041426
179	25.22476751
180	25.2147898
181	25.20794815
182	25.18093788
183	25.17007983
184	25.16140812
185	25.14870006
186	25.11448278
187	25.10433705
188	25.09581973
189	25.08223426
190	25.06683606
191	25.06271989
192	25.04802186
193	25.03981103
194	25.02905601
195	25.01957258
196	25.0063378
197	25.00011915
198	24.99159924
199	24.98072974
200	24.97674889
201	24.95718063
202	24.9324565
203	24.92187731
204	24.91319098
205	24.9102449
206	24.9001158
207	24.89455519
208	24.89226948
209	24.88100093
210	24.86246983
211	24.85802881
212	24.8467325
213	24.76289776
214	24.73479339
215	24.71459573
216	24.70641828
217	24.68132697
218	24.66936798
219	24.65479041
220	24.64725628
221	24.64183283
222	24.63199656
223	24.62489097
224	24.62166825
225	24.61531775
226	24.6045394
227	24.59367948
228	24.58798158
229	24.55082118
230	24.54554652
231	24.52917445
232	24.52418155
233	24.51837536
234	24.50941141
235	24.50090412
236	24.48563465
237	24.4796838
238	24.47396264
239	24.46601877
240	24.46036075
241	24.4549444
242	24.44309587
243	24.39554254
244	24.39293979
245	24.3821613
246	24.37158807
247	24.36822058
248	24.36613448
249	24.36110764
250	24.35512975
251	24.34774596
252	24.33522521
253	24.28665331
254	24.28369368
255	24.2674498
256	24.25825604
257	24.25577161
258	24.23751025
259	24.22354346
260	24.21925891
261	24.20991697
262	24.20435344
263	24.19035966
264	24.18808591
265	24.18010363
266	24.17147939
267	24.15309641
268	24.14727452
269	24.14363969
270	24.13658661
271	24.1310292
272	24.12583424
273	24.11951008
274	24.11104028
275	24.08367335
276	24.07920395
277	24.0751417
278	24.07175163
279	24.06663342
280	24.06161032
281	24.06014762
282	24.05198783
283	24.04024335
284	24.03171911
285	24.02653427
286	24.02024847
287	24.01536586
288	24.00806655
289	24.00179297
290	23.99255223
291	23.98954944
292	23.98492966
293	23.97984944
294	23.97638449
295	23.96617155
296	23.9594643
297	23.95628095
298	23.94926322
299	23.94565867
