iter	Passed	Remaining
0	3	1074
1	7	1111
2	11	1106
3	15	1121
4	18	1120
5	23	1151
6	27	1144
7	31	1143
8	35	1149
9	39	1136
10	42	1126
11	46	1111
12	49	1093
13	52	1076
14	55	1058
15	59	1055
16	62	1036
17	65	1026
18	68	1010
19	71	999
20	74	990
21	77	978
22	80	966
23	83	959
24	86	953
25	89	944
26	92	939
27	95	930
28	98	924
29	101	915
30	105	911
31	107	903
32	110	896
33	113	888
34	116	884
35	119	877
36	122	869
37	126	872
38	132	889
39	136	889
40	142	903
41	147	907
42	151	903
43	155	906
44	159	906
45	163	902
46	167	901
47	170	896
48	173	891
49	176	884
50	180	879
51	182	871
52	186	868
53	189	863
54	192	856
55	195	852
56	198	846
57	201	840
58	204	835
59	207	829
60	210	826
61	213	820
62	216	814
63	219	810
64	223	807
65	227	804
66	230	802
67	234	800
68	238	797
69	242	796
70	246	794
71	249	790
72	253	786
73	257	786
74	261	784
75	265	781
76	269	779
77	273	778
78	276	774
79	280	771
80	284	769
81	288	767
82	292	763
83	295	760
84	299	756
85	302	753
86	306	749
87	310	747
88	316	749
89	319	745
90	322	740
91	325	736
92	328	731
93	331	726
94	334	722
95	337	718
96	341	713
97	343	708
98	346	704
99	350	700
100	353	696
101	356	692
102	359	687
103	362	684
104	366	680
105	369	676
106	372	672
107	375	668
108	378	663
109	382	660
110	385	656
111	390	654
112	394	652
113	397	648
114	400	644
115	405	642
116	409	639
117	412	636
118	416	633
119	420	630
120	424	627
121	428	624
122	431	621
123	438	621
124	441	617
125	444	613
126	447	609
127	450	604
128	454	601
129	457	597
130	460	593
131	463	589
132	466	586
133	469	582
134	472	577
135	476	574
136	479	569
137	482	566
138	485	561
139	488	557
140	491	553
141	494	550
142	498	547
143	501	543
144	504	539
145	507	535
146	510	531
147	514	528
148	517	524
149	520	520
150	523	516
151	526	512
152	530	510
153	534	506
154	538	503
155	542	500
156	545	497
157	549	493
158	553	490
159	557	487
160	561	484
161	564	480
162	568	477
163	572	474
164	575	470
165	578	467
166	581	463
167	585	459
168	588	456
169	591	452
170	595	449
171	600	447
172	602	442
173	605	438
174	608	434
175	611	430
176	615	427
177	617	423
178	621	419
179	623	415
180	626	411
181	630	408
182	633	404
183	636	401
184	639	397
185	642	394
186	645	390
187	649	386
188	652	383
189	655	379
190	658	375
191	662	372
192	665	368
193	668	365
194	672	361
195	676	358
196	680	355
197	683	352
198	687	348
199	691	345
200	694	342
201	699	339
202	703	335
203	706	332
204	709	328
205	712	325
206	715	321
207	718	317
208	721	314
209	724	310
210	727	306
211	730	303
212	733	299
213	737	296
214	740	292
215	743	289
216	746	285
217	749	281
218	752	278
219	755	274
220	758	271
221	761	267
222	765	264
223	771	261
224	775	258
225	781	255
226	785	252
227	789	249
228	792	245
229	796	242
230	800	239
231	804	235
232	807	232
233	810	228
234	813	224
235	816	221
236	819	217
237	822	214
238	825	210
239	828	207
240	831	203
241	834	200
242	837	196
243	840	192
244	843	189
245	846	185
246	849	182
247	852	178
248	855	175
249	858	171
250	861	168
251	864	164
252	867	161
253	870	157
254	873	154
255	876	150
256	879	147
257	883	143
258	887	140
259	893	137
260	897	134
261	901	130
262	904	127
263	908	123
264	911	120
265	914	116
266	918	113
267	921	110
268	924	106
269	928	103
270	931	99
271	934	96
272	937	92
273	940	89
274	943	85
275	946	82
276	949	78
277	952	75
278	955	71
279	958	68
280	962	65
281	965	61
282	1019	61
283	1022	57
284	1026	54
285	1030	50
286	1034	46
287	1037	43
288	1042	39
289	1045	36
290	1049	32
291	1052	28
292	1055	25
293	1058	21
294	1061	17
295	1064	14
296	1068	10
297	1070	7
298	1073	3
299	1075	0
